"location.name","treatment.name","event.type","SAMPLE.ID","LAB.ID.x","METHOD","CAS.NUMBER","ANALYTE","RESULT","UNITS","DILUTION","RESULT.REPORTED.TO","MDL","RL","flag","non.detect","duplicate","method.name","event.count","flow.vol.liter","long","lat","COLLECTED","RECEIVED"
"Fruita NT",NA,"Inflow","FNT-01-IN-GB","HS24041322-01","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,NA,NA,2024-04-17 16:00:00,"19 Apr 2024 09:35"
"Fruita NT",NA,"Inflow","FNT-01-IN-GB","HS24041322-01","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.162,"mg/L",2,"RL",0.02,0.1,"H",FALSE,FALSE,"Grab Sample","Irrigation 1",NA,NA,NA,2024-04-17 16:00:00,"19 Apr 2024 09:35"
"Fruita NT",NA,"Inflow","FNT-01-IN-GB","HS24041322-01","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.143,"mg/L",1,"RL",0.02,0.05,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,NA,NA,2024-04-17 16:00:00,"19 Apr 2024 09:35"
"Fruita NT",NA,"Inflow","FNT-01-IN-GB","HS24041322-01","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",504,"mg/L",1,"RL",5,10,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,NA,NA,2024-04-17 16:00:00,"19 Apr 2024 09:35"
"Fruita NT",NA,"Inflow","FNT-01-IN-GB-D","HS24041322-02","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0.9,"mg/L",1,"RL",0.1,0.5,NA,FALSE,TRUE,"Grab Sample","Irrigation 1",NA,NA,NA,2024-04-17 16:00:00,"19 Apr 2024 09:35"
"Fruita NT",NA,"Inflow","FNT-01-IN-GB-D","HS24041322-02","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",0.179,"mg/L",1,"RL",0.03,0.1,"H",FALSE,TRUE,"Grab Sample","Irrigation 1",NA,NA,NA,2024-04-17 16:00:00,"19 Apr 2024 09:35"
"Fruita NT",NA,"Inflow","FNT-01-IN-GB-D","HS24041322-02","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,FALSE,TRUE,"Grab Sample","Irrigation 1",NA,NA,NA,2024-04-17 16:00:00,"19 Apr 2024 09:35"
"Fruita NT",NA,"Inflow","FNT-01-IN-GB-D","HS24041322-02","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.168,"mg/L",2,"RL",0.02,0.1,"H",FALSE,TRUE,"Grab Sample","Irrigation 1",NA,NA,NA,2024-04-17 16:00:00,"19 Apr 2024 09:35"
"Fruita NT",NA,"Inflow","FNT-01-IN-GB-D","HS24041322-02","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.579,"mg/L",1,"RL",0.02,0.05,NA,FALSE,TRUE,"Grab Sample","Irrigation 1",NA,NA,NA,2024-04-17 16:00:00,"19 Apr 2024 09:35"
"Fruita NT",NA,"Inflow","FNT-01-IN-GB-D","HS24041322-02","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",412,"mg/L",1,"RL",5,10,NA,FALSE,TRUE,"Grab Sample","Irrigation 1",NA,NA,NA,2024-04-17 16:00:00,"19 Apr 2024 09:35"
"Lab Blank",NA,"Lab Blank","BK-SC-01","HS24041850-13","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0,"mg/L",1,"RL",0.1,0.5,NA,FALSE,FALSE,"Lab Blank","Irrigation 1",NA,NA,NA,2024-04-24 23:00:00,"27 Apr 2024 09:30"
